Player1,Player2,P1_Wins,P2_Wins
K4O,77O,0.0,2.0
75S,54O,0.0,2.0
93S,K8O,2.0,0.0
A6O,A4O,2.0,0.0
97O,87O,2.0,0.0
72O,94O,0.0,2.0
J6O,KQS,0.0,2.0
T8O,K6O,0.0,2.0
T4O,87O,2.0,0.0
43O,73O,0.0,2.0
Q3O,J8S,0.0,2.0
86O,83S,0.0,2.0
65O,JTS,0.0,2.0
KKO,64O,2.0,0.0
65O,K9O,2.0,0.0
J4O,96O,2.0,0.0
T6O,T7O,0.0,2.0
93O,T9O,0.0,2.0
54O,A6O,0.0,2.0
86O,QTS,0.0,2.0
Q9O,K2O,0.0,2.0
98S,73S,0.0,2.0
A7O,95O,0.0,2.0
Q3O,J4O,2.0,0.0
42O,J7O,2.0,0.0
K5O,85S,2.0,0.0
84O,Q8O,0.0,2.0
Q7O,J7S,2.0,0.0
95O,A8S,0.0,2.0
J5O,82S,2.0,0.0
63O,97O,0.0,2.0
Q8S,Q7O,2.0,0.0
T4S,T2O,2.0,0.0
